bench\framework,numba_mlir,numba,numba_replace_parfor,numpy
polybench.linear_algebra.blas.syr2k["S"],23.5±0.3ms,115±0.9ms,5.30±0.01ms,6.87±0.08ms
polybench.linear_algebra.blas.syr2k["M"],271±1ms,980±3ms,57.8±0.06ms,60.2±0.1ms
polybench.linear_algebra.blas.syr2k["paper"],failed,failed,5.18±0s,6.48±0s
polybench.linear_algebra.blas.syrk["S"],32.6±0.2ms,226±0.7ms,11.4±0.1ms,5.42±0.08ms
polybench.linear_algebra.blas.syrk["M"],330±0.2ms,1.90±0.01s,114±0.4ms,48.0±0.5ms
polybench.linear_algebra.blas.syrk["paper"],14.7±0.01s,failed,5.08±0.01s,2.60±0s
polybench.linear_algebra.blas.trmm["S"],317±1μs,3.98±0.06ms,315±0.5μs,5.38±0.05ms
polybench.linear_algebra.blas.trmm["M"],1.54±0ms,4.10±0.02ms,1.56±0.01ms,53.9±0.2ms
polybench.linear_algebra.blas.trmm["paper"],81.7±2ms,118±0.1ms,81.6±3ms,1.77±0s
polybench.linear_algebra.kernels.atax["S"],17.4±0.09ms,15.1±0.02ms,15.1±0.03ms,15.1±0.01ms
polybench.linear_algebra.kernels.atax["M"],136±1ms,96.5±0.05ms,96.5±0.03ms,97.0±0.1ms
polybench.linear_algebra.kernels.atax["paper"],506±0.6ms,306±0.2ms,306±0.3ms,306±0.3ms
polybench.linear_algebra.kernels.bicg["S"],20.0±0.1ms,14.0±0.02ms,14.0±0.01ms,14.1±0.02ms
polybench.linear_algebra.kernels.bicg["M"],145±0.6ms,95.4±0.2ms,95.4±0.3ms,95.7±0.08ms
polybench.linear_algebra.kernels.bicg["paper"],550±0.6ms,309±0.01ms,309±0.2ms,309±0.3ms
polybench.linear_algebra.kernels.doitgen["S"],33.3±0.06ms,314±8ms,18.7±3ms,5.31±0.2ms
polybench.linear_algebra.kernels.doitgen["M"],196±0.2ms,1.24±0s,102±20ms,31.9±0.07ms
polybench.linear_algebra.kernels.doitgen["paper"],829±0.8ms,failed,514±40ms,161±0.4ms
polybench.linear_algebra.kernels.k2mm["S"],9.73±0.1ms,10.2±0.04ms,10.9±0.1ms,8.23±0.09ms
polybench.linear_algebra.kernels.k2mm["M"],165±0.6ms,143±0.6ms,167±0.3ms,165±0.9ms
polybench.linear_algebra.kernels.k2mm["paper"],610±0.7ms,546±2ms,619±0.3ms,573±0.9ms
polybench.linear_algebra.kernels.k3mm["S"],92.8±0.5ms,78.7±0.5ms,79.6±0.4ms,81.8±0.6ms
polybench.linear_algebra.kernels.k3mm["M"],219±1ms,191±1ms,190±0.6ms,220±1ms
polybench.linear_algebra.kernels.k3mm["paper"],854±5ms,774±4ms,775±4ms,790±3ms
polybench.linear_algebra.kernels.mvt["S"],28.4±0.2ms,23.1±0.02ms,23.0±0.03ms,23.0±0.04ms
polybench.linear_algebra.kernels.mvt["M"],127±0.5ms,93.0±0.08ms,92.8±0.03ms,93.5±0.3ms
polybench.linear_algebra.kernels.mvt["paper"],768±9ms,199±0.3ms,199±0.4ms,199±0.3ms
polybench.linear_algebra.solvers.cholesky["S"],13.1±0.1ms,317±0.9ms,failed,7.19±0.04ms
polybench.linear_algebra.solvers.cholesky["M"],162±0.4ms,2.82±0s,172±0.6ms,61.9±0.2ms
polybench.linear_algebra.solvers.cholesky["paper"],8.36±0.02s,failed,8.76±0.02s,2.85±0.01s
polybench.linear_algebra.solvers.cholesky2["S"],failed,failed,failed,failed
polybench.linear_algebra.solvers.cholesky2["M"],failed,failed,failed,failed
polybench.linear_algebra.solvers.cholesky2["paper"],failed,failed,failed,failed
polybench.linear_algebra.solvers.durbin["S"],12.3±0.05ms,125±1ms,failed,4.70±0.07ms
polybench.linear_algebra.solvers.durbin["M"],98.9±0.2ms,751±3ms,failed,50.0±0.04ms
polybench.linear_algebra.solvers.durbin["paper"],375±0.7ms,1.95±0s,failed,279±0.3ms
polybench.linear_algebra.solvers.gramschmidt["S"],14.0±0.06ms,231±1ms,14.8±0.03ms,4.52±0.02ms
polybench.linear_algebra.solvers.gramschmidt["M"],161±0.4ms,2.05±0.01s,170±0.6ms,49.2±0.1ms
polybench.linear_algebra.solvers.gramschmidt["paper"],179±0.3ms,2.52±0.01s,192±0.8ms,61.4±0.2ms
polybench.linear_algebra.solvers.lu["S"],7.12±0.06ms,failed,failed,4.62±0.01ms
polybench.linear_algebra.solvers.lu["M"],171±1ms,failed,failed,62.9±0.07ms
polybench.linear_algebra.solvers.lu["paper"],failed,2.32±0.01s,2.32±0.01s,6.77±0s
polybench.linear_algebra.solvers.ludcmp["S"],7.42±0.05ms,failed,failed,4.77±0.01ms
polybench.linear_algebra.solvers.ludcmp["M"],172±1ms,failed,failed,63.2±0.06ms
polybench.linear_algebra.solvers.ludcmp["paper"],failed,2.32±0.01s,2.33±0.01s,6.77±0s
polybench.linear_algebra.solvers.trisolv["S"],9.07±0.04ms,390±10μs,398±3μs,2.93±0.01ms
polybench.linear_algebra.solvers.trisolv["M"],28.3±0.05ms,5.71±0.02ms,5.75±0.03ms,12.3±0.01ms
polybench.linear_algebra.solvers.trisolv["paper"],128±0.7ms,56.2±0.09ms,56.3±0.1ms,80.2±0.06ms
polybench.medley.deriche["S"],9.31±0.01ms,74.9±0.7ms,5.20±0.02ms,6.57±0.2ms
polybench.medley.deriche["M"],54.0±0.2ms,296±2ms,35.2±0.1ms,52.8±0.04ms
polybench.medley.deriche["paper"],784±0.7ms,726±0.8ms,660±0.3ms,1.67±0.01s
polybench.medley.floyd_warshall["S"],1.67±0ms,3.52±0.06ms,1.73±0ms,3.82±0.06ms
polybench.medley.floyd_warshall["M"],5.88±0.3ms,11.4±0.1ms,5.63±0.01ms,41.9±0.7ms
polybench.medley.floyd_warshall["paper"],1.84±0.02s,2.62±0.03s,1.87±0.02s,failed
polybench.medley.nussinov["S"],30.1±0.07μs,33.1±0.06μs,31.7±0.07μs,5.64±0.09ms
polybench.medley.nussinov["M"],177±0.1μs,184±0.1μs,190±0.3μs,52.0±0.8ms
polybench.medley.nussinov["paper"],19.8±0.01ms,23.1±0.02ms,23.1±0.02ms,7.35±0s
polybench.stencils.adi["S"],51.6±0.09ms,371±2ms,22.3±0.02ms,10.2±0.2ms
polybench.stencils.adi["M"],452±0.6ms,2.98±0.01s,196±0.3ms,91.9±0.5ms
polybench.stencils.adi["paper"],2.26±0s,failed,967±2ms,461±6ms
polybench.stencils.fdtd_2d["S"],28.3±0.2ms,5.05±0.02ms,3.23±0.01ms,4.90±0.03ms
polybench.stencils.fdtd_2d["M"],324±2ms,33.1±1ms,23.1±0.5ms,75.9±0.1ms
polybench.stencils.fdtd_2d["paper"],failed,1.06±0s,700±10ms,6.79±0.04s
polybench.stencils.heat_3d["S"],12.9±0.03ms,2.18±0ms,2.26±0.01ms,5.11±0.03ms
polybench.stencils.heat_3d["M"],64.3±0.09ms,7.94±0.03ms,9.10±0.06ms,52.3±0.5ms
polybench.stencils.heat_3d["paper"],failed,2.39±0s,3.22±0.04s,failed
polybench.stencils.jacobi_1d["S"],29.0±0.05ms,151±2ms,13.1±0.04ms,6.85±0.09ms
polybench.stencils.jacobi_1d["M"],200±0.9ms,334±200ms,85.2±0.3ms,60.7±0.04ms
polybench.stencils.jacobi_1d["paper"],478±2ms,212±1ms,176±0.1ms,204±3ms
polybench.stencils.jacobi_2d["S"],12.8±0.09ms,3.94±0.02ms,3.87±0.04ms,4.68±0.09ms
polybench.stencils.jacobi_2d["M"],165±0.3ms,13.7±0.03ms,18.1±0.1ms,65.6±0.3ms
polybench.stencils.jacobi_2d["paper"],failed,failed,failed,failed
polybench.stencils.seidel_2d["S"],12.1±0.05ms,42.8±0.6ms,2.89±0.01ms,7.08±0.02ms
polybench.stencils.seidel_2d["M"],43.2±0.1ms,173±0.8ms,10.4±0.04ms,53.9±0.1ms
polybench.stencils.seidel_2d["paper"],1.55±0s,failed,372±2ms,5.77±0.01s
