bench\framework,numba_mlir,numba,numba_replace_parfor,numpy
npbench.scattering_self_energies["M"],498±3μs,4.82±0.6ms,645±3μs,46.5±0.07ms
npbench.scattering_self_energies["paper"],13.8±1ms,114±0.9ms,17.5±0.2ms,1.47±0s
npbench.spmv["S"],29.8±0.1μs,67.5±0.2μs,29.8±0.08μs,7.75±0.2ms
npbench.spmv["M"],168±1μs,242±2μs,165±1μs,61.7±0.1ms
npbench.spmv["paper"],934±4μs,1.13±0.01ms,907±7μs,248±1ms
npbench.stockham_fft["S"],15.3±0.02ms,3.00±0.02ms,2.74±0.05ms,4.59±0.01ms
npbench.stockham_fft["M"],144±2ms,39.6±0.2ms,54.5±0.4ms,52.4±0.04ms
npbench.stockham_fft["paper"],444±2ms,158±0.1ms,213±1ms,218±0.2ms
npbench.weather_stencils.hdiff["S"],12.8±0.1ms,2.46±0.01ms,2.63±0.02ms,8.41±0.01ms
npbench.weather_stencils.hdiff["M"],161±0.3ms,42.4±0.05ms,47.5±0.4ms,112±0.1ms
npbench.weather_stencils.hdiff["paper"],733±0.9ms,155±0.4ms,303±2ms,449±0.5ms
npbench.weather_stencils.vadv["S"],10.1±0.03ms,7.28±0.01ms,6.10±0.02ms,5.61±0.01ms
npbench.weather_stencils.vadv["M"],40.5±0.7ms,29.9±0.1ms,26.0±0.07ms,60.6±1ms
npbench.weather_stencils.vadv["paper"],1.15±0s,702±3ms,772±2ms,1.52±0s
polybench.datamining.correlation["S"],8.67±0.04ms,failed,failed,4.54±0.01ms
polybench.datamining.correlation["M"],202±7ms,failed,failed,72.4±0.09ms
polybench.datamining.correlation["paper"],125±4ms,failed,failed,34.0±0.1ms
polybench.datamining.covariance["S"],8.61±0.2ms,failed,failed,4.40±0.01ms
polybench.datamining.covariance["M"],208±5ms,failed,failed,63.4±0.2ms
polybench.datamining.covariance["paper"],121±2ms,failed,failed,31.7±0.2ms
polybench.linear_algebra.blas.gemm["S"],10.5±0.04ms,10.3±0.03ms,12.2±0.09ms,9.61±0.3ms
polybench.linear_algebra.blas.gemm["M"],154±0.8ms,136±0.4ms,169±0.8ms,148±0.3ms
polybench.linear_algebra.blas.gemm["paper"],95.5±0.4ms,84.2±0.4ms,105±0.5ms,96.6±0.5ms
polybench.linear_algebra.blas.gemver["S"],1.06±0.01ms,1.46±0.01ms,2.04±0.02ms,3.82±0.02ms
polybench.linear_algebra.blas.gemver["M"],45.0±0.04ms,68.0±0.2ms,92.9±0.06ms,91.3±0.1ms
polybench.linear_algebra.blas.gemver["paper"],375±3ms,484±0.7ms,665±0.2ms,600±0.4ms
polybench.linear_algebra.blas.gesummv["S"],2.33±0.01ms,11.0±0.1ms,25.0±0.1ms,10.5±0.05ms
polybench.linear_algebra.blas.gesummv["M"],11.9±0.05ms,50.3±0.05ms,132±0.3ms,61.1±0.05ms
polybench.linear_algebra.blas.gesummv["paper"],91.0±0.06ms,384±1ms,1.02±0s,490±0.2ms
polybench.linear_algebra.blas.symm["S"],573±1μs,3.55±1ms,570±0.8μs,4.93±0.02ms
polybench.linear_algebra.blas.symm["M"],3.38±0.01ms,5.29±0.03ms,3.37±0.01ms,44.3±0.1ms
polybench.linear_algebra.blas.symm["paper"],308±0.8ms,369±20ms,307±2ms,4.26±0.01s
polybench.linear_algebra.blas.syr2k["S"],24.4±0.3ms,115±1ms,5.25±0.06ms,7.00±0.4ms
polybench.linear_algebra.blas.syr2k["M"],275±1ms,983±3ms,58.1±0.1ms,59.3±0.1ms
polybench.linear_algebra.blas.syr2k["paper"],failed,failed,5.19±0.01s,6.47±0.02s
polybench.linear_algebra.blas.syrk["S"],32.6±0.07ms,226±2ms,11.5±0.1ms,5.14±0.04ms
polybench.linear_algebra.blas.syrk["M"],328±0.4ms,1.92±0s,116±0.5ms,45.7±0.2ms
polybench.linear_algebra.blas.syrk["paper"],14.8±0.01s,failed,5.06±0.01s,2.50±0s
polybench.linear_algebra.blas.trmm["S"],317±0.8μs,3.85±0.1ms,315±1μs,5.41±0.03ms
polybench.linear_algebra.blas.trmm["M"],1.54±0ms,4.13±0.01ms,1.56±0ms,53.8±0.2ms
polybench.linear_algebra.blas.trmm["paper"],81.8±1ms,117±0.5ms,82.5±1ms,1.79±0s
polybench.linear_algebra.kernels.atax["S"],17.5±0.2ms,15.1±0.04ms,15.1±0.02ms,15.2±0.01ms
polybench.linear_algebra.kernels.atax["M"],136±0.4ms,96.9±0.05ms,96.4±0.1ms,96.6±0.06ms
polybench.linear_algebra.kernels.atax["paper"],506±0.4ms,306±0.7ms,306±0.3ms,305±0.6ms
polybench.linear_algebra.kernels.bicg["S"],20.2±0.1ms,14.1±0.04ms,14.1±0.02ms,14.1±0.02ms
polybench.linear_algebra.kernels.bicg["M"],145±0.09ms,95.5±0.2ms,95.5±0.2ms,95.7±0.2ms
polybench.linear_algebra.kernels.bicg["paper"],549±1ms,315±3ms,308±0.2ms,308±0.4ms
polybench.linear_algebra.kernels.doitgen["S"],33.5±0.07ms,326±0.7ms,19.2±2ms,4.97±0.1ms
polybench.linear_algebra.kernels.doitgen["M"],190±0.2ms,1.27±0.01s,115±8ms,35.5±0.3ms
polybench.linear_algebra.kernels.doitgen["paper"],830±1ms,failed,506±40ms,154±0.2ms
polybench.linear_algebra.kernels.k2mm["S"],9.92±0.09ms,10.4±0.09ms,11.0±0.08ms,8.13±0.07ms
polybench.linear_algebra.kernels.k2mm["M"],167±0.4ms,148±0.3ms,171±0.3ms,167±0.4ms
polybench.linear_algebra.kernels.k2mm["paper"],624±1ms,563±1ms,630±1ms,583±2ms
polybench.linear_algebra.kernels.k3mm["S"],94.2±0.1ms,80.2±0.1ms,80.8±0.06ms,83.0±0.06ms
polybench.linear_algebra.kernels.k3mm["M"],222±0.3ms,194±0.3ms,197±0.6ms,225±0.6ms
polybench.linear_algebra.kernels.k3mm["paper"],874±0.8ms,794±0.5ms,800±0.7ms,811±2ms
polybench.linear_algebra.kernels.mvt["S"],28.3±0.02ms,23.1±0.01ms,23.0±0.04ms,23.2±0.06ms
polybench.linear_algebra.kernels.mvt["M"],127±0.3ms,93.0±0.1ms,93.1±0.2ms,93.7±0.07ms
polybench.linear_algebra.kernels.mvt["paper"],772±6ms,199±0.2ms,199±0.09ms,199±0.4ms
polybench.linear_algebra.solvers.cholesky["S"],13.1±0.1ms,318±3ms,failed,7.07±0.02ms
polybench.linear_algebra.solvers.cholesky["M"],161±0.5ms,2.82±0s,172±0.4ms,62.8±0.02ms
polybench.linear_algebra.solvers.cholesky["paper"],8.25±0.02s,failed,8.65±0s,2.85±0s
polybench.linear_algebra.solvers.cholesky2["S"],1.11±0ms,failed,failed,failed
polybench.linear_algebra.solvers.cholesky2["M"],32.9±0.1ms,failed,failed,failed
polybench.linear_algebra.solvers.cholesky2["paper"],25.1±0.1ms,failed,failed,failed
polybench.linear_algebra.solvers.durbin["S"],12.5±0.03ms,130±2ms,failed,4.50±0.02ms
polybench.linear_algebra.solvers.durbin["M"],101±0.2ms,754±0.6ms,failed,49.6±0.2ms
polybench.linear_algebra.solvers.durbin["paper"],383±1ms,1.95±0s,failed,278±0.8ms
polybench.linear_algebra.solvers.gramschmidt["S"],14.0±0.02ms,231±0.4ms,14.7±0.02ms,4.53±0.01ms
polybench.linear_algebra.solvers.gramschmidt["M"],161±0.5ms,2.04±0s,167±0.4ms,49.5±0.1ms
polybench.linear_algebra.solvers.gramschmidt["paper"],178±0.7ms,2.51±0s,187±0.5ms,62.4±0.2ms
polybench.linear_algebra.solvers.lu["S"],7.10±0.04ms,failed,failed,4.66±0.01ms
polybench.linear_algebra.solvers.lu["M"],170±0.8ms,failed,failed,63.1±0.5ms
polybench.linear_algebra.solvers.lu["paper"],failed,2.25±0s,2.25±0s,6.83±0s
polybench.linear_algebra.solvers.ludcmp["S"],7.47±0.03ms,failed,failed,4.84±0.01ms
polybench.linear_algebra.solvers.ludcmp["M"],172±0.7ms,failed,failed,63.6±0.07ms
polybench.linear_algebra.solvers.ludcmp["paper"],failed,2.26±0.01s,2.27±0.01s,6.85±0.01s
