bench\framework,numba_mlir,numba,numba_replace_parfor,numpy
polybench.linear_algebra.blas.trmm["S"],321±0.7μs,4.16±0.06ms,317±0.5μs,5.19±0.03ms
polybench.linear_algebra.blas.trmm["M"],1.56±0ms,4.17±0.01ms,1.56±0ms,51.6±0.5ms
polybench.linear_algebra.blas.trmm["paper"],81.5±2ms,115±0.5ms,80.5±2ms,1.74±0s
polybench.linear_algebra.kernels.atax["S"],17.6±0.09ms,15.1±0.02ms,15.1±0.03ms,14.9±0.03ms
polybench.linear_algebra.kernels.atax["M"],136±0.7ms,96.6±0.09ms,96.5±0.1ms,97.1±0.04ms
polybench.linear_algebra.kernels.atax["paper"],509±1ms,306±0.7ms,306±0.3ms,306±0.7ms
polybench.linear_algebra.kernels.bicg["S"],19.9±0.1ms,14.0±0.01ms,14.1±0.03ms,14.1±0.02ms
polybench.linear_algebra.kernels.bicg["M"],145±0.4ms,95.8±0.2ms,95.6±0.1ms,96.5±0.5ms
polybench.linear_algebra.kernels.bicg["paper"],548±0.1ms,311±0.7ms,312±0.3ms,309±0.02ms
polybench.linear_algebra.kernels.doitgen["S"],33.3±0.09ms,333±8ms,18.6±0.3ms,5.12±0.02ms
polybench.linear_algebra.kernels.doitgen["M"],190±4ms,1.27±0.02s,106±9ms,33.9±0.3ms
polybench.linear_algebra.kernels.doitgen["paper"],827±2ms,failed,494±10ms,151±0.6ms
polybench.linear_algebra.kernels.k2mm["S"],9.93±0.09ms,10.4±0.08ms,10.9±0.05ms,8.21±0.1ms
polybench.linear_algebra.kernels.k2mm["M"],164±0.3ms,144±0.3ms,167±1ms,165±0.6ms
polybench.linear_algebra.kernels.k2mm["paper"],611±2ms,549±0.5ms,619±3ms,577±2ms
polybench.linear_algebra.kernels.k3mm["S"],92.6±0.09ms,79.3±0.1ms,79.6±0.2ms,81.6±0.09ms
polybench.linear_algebra.kernels.k3mm["M"],218±0.3ms,192±0.1ms,191±0.2ms,223±0.7ms
polybench.linear_algebra.kernels.k3mm["paper"],858±0.6ms,781±0.4ms,780±1ms,795±0.3ms
polybench.linear_algebra.kernels.mvt["S"],28.3±0.1ms,23.1±0.02ms,23.1±0.02ms,23.1±0.03ms
polybench.linear_algebra.kernels.mvt["M"],127±0.3ms,93.1±0.04ms,92.7±0.1ms,93.8±0.1ms
polybench.linear_algebra.kernels.mvt["paper"],757±3ms,200±0.06ms,199±0.1ms,199±0.4ms
polybench.linear_algebra.solvers.cholesky["S"],13.1±0.1ms,329±1ms,failed,6.90±0.02ms
polybench.linear_algebra.solvers.cholesky["M"],162±0.8ms,2.91±0s,173±0.7ms,61.0±0.2ms
polybench.linear_algebra.solvers.cholesky["paper"],8.35±0.02s,failed,8.81±0.01s,2.78±0.01s
polybench.linear_algebra.solvers.cholesky2["S"],failed,failed,failed,failed
polybench.linear_algebra.solvers.cholesky2["M"],failed,failed,failed,failed
polybench.linear_algebra.solvers.cholesky2["paper"],failed,failed,failed,failed
polybench.linear_algebra.solvers.durbin["S"],12.9±0.1ms,130±0.8ms,failed,4.59±0.01ms
polybench.linear_algebra.solvers.durbin["M"],102±0.1ms,776±2ms,failed,49.8±0.1ms
polybench.linear_algebra.solvers.durbin["paper"],389±1ms,2.01±0.01s,failed,278±0.7ms
polybench.linear_algebra.solvers.gramschmidt["S"],13.9±0.04ms,238±3ms,14.9±0.06ms,4.38±0.02ms
polybench.linear_algebra.solvers.gramschmidt["M"],159±0.4ms,2.11±0s,168±0.3ms,49.0±0.1ms
polybench.linear_algebra.solvers.gramschmidt["paper"],178±0.7ms,2.59±0.01s,190±0.5ms,61.5±0.2ms
polybench.linear_algebra.solvers.lu["S"],7.10±0.04ms,failed,failed,4.70±0.02ms
polybench.linear_algebra.solvers.lu["M"],171±0.5ms,failed,failed,63.6±0.2ms
polybench.linear_algebra.solvers.lu["paper"],failed,2.30±0.01s,2.29±0s,6.74±0.01s
polybench.linear_algebra.solvers.ludcmp["S"],7.38±0.09ms,failed,failed,4.84±0.01ms
polybench.linear_algebra.solvers.ludcmp["M"],169±1ms,failed,failed,64.1±0.1ms
polybench.linear_algebra.solvers.ludcmp["paper"],failed,2.34±0s,2.32±0.01s,6.73±0s
polybench.linear_algebra.solvers.trisolv["S"],8.89±0.04ms,392±9μs,392±10μs,2.96±0.01ms
polybench.linear_algebra.solvers.trisolv["M"],28.0±0.3ms,5.68±0ms,5.70±0.01ms,12.4±0.02ms
polybench.linear_algebra.solvers.trisolv["paper"],127±1ms,56.3±0.03ms,56.4±0.08ms,79.7±0.1ms
polybench.medley.deriche["S"],9.49±0.04ms,78.5±0.6ms,5.22±0.02ms,6.38±0.02ms
polybench.medley.deriche["M"],54.3±0.1ms,305±2ms,35.2±0.2ms,53.0±0.08ms
polybench.medley.deriche["paper"],781±1ms,726±8ms,659±0.6ms,1.69±0.01s
polybench.medley.floyd_warshall["S"],1.70±0.01ms,3.55±0.01ms,1.75±0.01ms,3.78±0.09ms
polybench.medley.floyd_warshall["M"],5.66±0.03ms,11.5±0.07ms,6.05±0.3ms,42.5±0.6ms
polybench.medley.floyd_warshall["paper"],1.86±0.03s,2.59±0.2s,1.93±0.01s,failed
polybench.medley.nussinov["S"],30.3±2μs,33.2±0.07μs,31.7±0.05μs,5.50±0.01ms
polybench.medley.nussinov["M"],179±0.2μs,186±0.1μs,192±0.3μs,49.9±0.06ms
polybench.medley.nussinov["paper"],19.8±0.01ms,23.1±0.02ms,23.1±0.02ms,7.21±0s
polybench.stencils.adi["S"],52.5±0.2ms,383±1ms,22.3±0.04ms,9.84±0.05ms
polybench.stencils.adi["M"],458±1ms,3.08±0s,195±0.7ms,91.2±0.3ms
polybench.stencils.adi["paper"],2.27±0.01s,failed,984±2ms,455±1ms
polybench.stencils.fdtd_2d["S"],27.7±0.7ms,5.13±0.01ms,3.21±0ms,4.73±0.03ms
polybench.stencils.fdtd_2d["M"],324±1ms,32.9±0.4ms,22.8±0.4ms,76.2±0.2ms
polybench.stencils.fdtd_2d["paper"],failed,1.07±0.01s,694±4ms,6.81±0.01s
polybench.stencils.heat_3d["S"],13.0±0.04ms,2.20±0ms,2.19±0.01ms,4.99±0.01ms
polybench.stencils.heat_3d["M"],95.8±30ms,8.04±0.02ms,8.97±0.02ms,52.1±0.2ms
polybench.stencils.heat_3d["paper"],failed,2.48±0.1s,3.22±0.02s,failed
polybench.stencils.jacobi_1d["S"],29.2±0.09ms,156±1ms,13.1±0.07ms,6.64±0.03ms
polybench.stencils.jacobi_1d["M"],201±0.7ms,572±200ms,86.1±0.4ms,60.0±0.03ms
polybench.stencils.jacobi_1d["paper"],475±0.5ms,213±0.2ms,178±0.1ms,203±6ms
polybench.stencils.jacobi_2d["S"],12.4±0.04ms,3.97±0.01ms,3.88±0ms,4.58±0.09ms
polybench.stencils.jacobi_2d["M"],166±0.1ms,13.8±0.07ms,17.9±0.08ms,66.4±0.06ms
polybench.stencils.jacobi_2d["paper"],failed,failed,failed,failed
polybench.stencils.seidel_2d["S"],12.0±0.03ms,44.6±0.6ms,2.91±0.01ms,6.78±0.03ms
polybench.stencils.seidel_2d["M"],43.7±0.09ms,181±3ms,10.4±0.05ms,51.2±0.3ms
polybench.stencils.seidel_2d["paper"],1.54±0s,failed,372±1ms,5.70±0s
