bench\framework,numba_mlir,numba,numba_replace_parfor,numpy
npbench.scattering_self_energies["M"],528±6μs,4.89±0.01ms,630±5μs,46.3±0.07ms
npbench.scattering_self_energies["paper"],13.6±0.3ms,117±0.5ms,16.8±0.2ms,1.47±0s
npbench.spmv["S"],29.5±0.09μs,67.5±0.3μs,29.0±0.05μs,7.62±0.02ms
npbench.spmv["M"],166±1μs,244±2μs,159±1μs,62.0±0.2ms
npbench.spmv["paper"],916±5μs,1.14±0.01ms,894±6μs,249±0.6ms
npbench.stockham_fft["S"],15.3±0.02ms,3.21±0.3ms,2.73±0.04ms,4.59±0.01ms
npbench.stockham_fft["M"],143±0.3ms,39.4±0.5ms,54.4±0.1ms,53.1±0.09ms
npbench.stockham_fft["paper"],444±2ms,157±0.7ms,212±1ms,218±0.5ms
npbench.weather_stencils.hdiff["S"],12.6±0.08ms,2.36±0.01ms,2.63±0.03ms,8.41±0.05ms
npbench.weather_stencils.hdiff["M"],160±0.4ms,42.0±0.09ms,47.8±0.2ms,112±0.3ms
npbench.weather_stencils.hdiff["paper"],732±0.6ms,154±0.5ms,302±1ms,447±0.1ms
npbench.weather_stencils.vadv["S"],10.0±0.04ms,7.22±0.04ms,6.18±0.02ms,5.83±0.01ms
npbench.weather_stencils.vadv["M"],39.9±0.1ms,29.4±0.1ms,26.0±0.1ms,61.5±0.1ms
npbench.weather_stencils.vadv["paper"],1.14±0s,707±10ms,780±20ms,1.52±0s
polybench.datamining.correlation["S"],8.69±0.2ms,failed,failed,4.66±0.02ms
polybench.datamining.correlation["M"],213±5ms,failed,failed,73.6±0.2ms
polybench.datamining.correlation["paper"],145±4ms,failed,failed,34.4±0.07ms
polybench.datamining.covariance["S"],8.65±0.1ms,failed,failed,4.52±0.03ms
polybench.datamining.covariance["M"],221±7ms,failed,failed,63.8±0.2ms
polybench.datamining.covariance["paper"],136±4ms,failed,failed,32.1±0.07ms
polybench.linear_algebra.blas.gemm["S"],10.5±0.05ms,10.5±0.02ms,12.4±0.05ms,9.38±0.01ms
polybench.linear_algebra.blas.gemm["M"],154±0.5ms,136±0.6ms,168±0.3ms,148±0.2ms
polybench.linear_algebra.blas.gemm["paper"],95.4±0.3ms,83.7±0.4ms,105±0.2ms,97.1±0.2ms
polybench.linear_algebra.blas.gemver["S"],1.06±0.01ms,1.48±0.01ms,2.06±0.01ms,3.52±0.04ms
polybench.linear_algebra.blas.gemver["M"],44.9±0.2ms,68.2±0.2ms,93.1±0.08ms,91.1±0.1ms
polybench.linear_algebra.blas.gemver["paper"],375±3ms,484±0.6ms,666±1ms,599±0.6ms
polybench.linear_algebra.blas.gesummv["S"],2.34±0.02ms,10.9±0.04ms,25.4±0.2ms,10.5±0.03ms
polybench.linear_algebra.blas.gesummv["M"],11.9±0.01ms,50.1±0.3ms,131±0.09ms,61.1±0.07ms
polybench.linear_algebra.blas.gesummv["paper"],91.2±0.03ms,384±0.2ms,1.02±0s,491±0.1ms
polybench.linear_algebra.blas.symm["S"],569±2μs,3.93±1ms,574±1μs,4.95±0.02ms
