bench\framework,numba_mlir,numba,numba_replace_parfor,numpy
microbenchmarks.dispatcher["1"],1.9002010440847988e-07,,,
microbenchmarks.dispatcher["2-same"],1.9706889521718202e-07,,,
microbenchmarks.dispatcher["2-different"],2.0062226690441971e-07,,,
microbenchmarks.dispatcher["6-same"],2.2144186095086246e-07,,,
microbenchmarks.dispatcher["6-different"],2.4640044521677554e-07,,,
microbenchmarks.dispatcher["12-same"],2.5082234894578006e-07,,,
microbenchmarks.dispatcher["12-different"],1.1659581265018347e-06,,,
npbench.azimint_hist["S"],None,0.00230942340567708,0.0022819489240646362,0.00585810886695981
npbench.azimint_hist["M"],None,0.021527317818254232,0.022868935950100422,0.062227176036685705
npbench.azimint_hist["paper"],None,0.00549882953055203,0.005615957779809833,0.014896295964717865
npbench.azimint_naive["S"],0.03239217307418585,0.030957849696278572,0.032170884776860476,0.5023149275220931
npbench.azimint_naive["M"],0.9004447078332305,0.9503201362676919,0.8945022150874138,6.665965195279568
npbench.azimint_naive["paper"],0.1000579153187573,0.09752148017287254,0.09984116815030575,1.2729008197784424
npbench.cavity_flow["S"],0.02557008806616068,0.013763237744569778,0.00954957865178585,0.006602476118132472
npbench.cavity_flow["M"],0.10015501780435443,0.061256497632712126,0.041175724007189274,0.05018573207780719
npbench.cavity_flow["paper"],4.139572832733393,3.29693422280252,2.0381428403779864,1.652083474677056
npbench.channel_flow["S"],1.4825779600068927,3.6003452157601714,0.5608866242691875,0.4071860103867948
npbench.channel_flow["M"],2.6129908771254122,1.6111794072203338,1.0656097633764148,1.2281903252005577
npbench.channel_flow["paper"],7.394100766628981,5.927745706867427,3.4692487181164324,2.9849071321077645
npbench.compute["S"],0.012505924794822931,0.015807619784027338,0.025828748010098934,0.020103116519749165
npbench.compute["M"],0.10464177280664444,0.09625355526804924,0.16432697512209415,0.1444980427622795
npbench.compute["paper"],0.6347982618026435,0.5955119719728827,1.0075936196371913,0.9176734280772507
npbench.contour_integral["S"],0.012165508233010769,0.006043806206434965,0.00594239984638989,0.0035698640470703444
npbench.contour_integral["M"],0.09769541071727872,0.0387916648760438,0.036858181934803724,0.04529682174324989
npbench.contour_integral["paper"],1.0046200822107494,0.5061461613513529,0.488357936963439,0.5677689877338707
npbench.crc16["S"],9.000675583427602e-06,8.90067479174052e-06,8.906693939043551e-06,0.0034859605754415197
npbench.crc16["M"],8.656231996913752e-05,8.653914555907249e-05,8.656619678414058e-05,0.03491126745939255
npbench.crc16["paper"],0.005407979246228933,0.005414019804447889,0.005428263219073415,2.2033454198390245
npbench.deep_learning.conv2d_bias["S"],0.0009753447957336903,0.0008677676475296419,0.0025705117732286453,0.006473348708823323
npbench.deep_learning.conv2d_bias["M"],0.004527351198097071,0.007638205075636506,0.009177753468975425,0.05397518211975694
npbench.deep_learning.conv2d_bias["paper"],1.6575209102593362,3.0034386883489788,1.2682584556750953,12.16697203880176
npbench.deep_learning.lenet["S"],0.0009929717687720604,0.001072569005191326,None,0.005403718678280711
npbench.deep_learning.lenet["M"],0.0063698203302919865,0.009432457620278,None,0.0440015965141356
npbench.deep_learning.lenet["paper"],0.2505830437876284,0.38034561183303595,None,1.751142826396972
npbench.deep_learning.mlp["S"],0.013226582668721676,0.01312983874231577,None,0.014814176596701145
npbench.deep_learning.mlp["M"],0.08440905995666981,0.08361362991854548,None,0.09289435762912035
npbench.deep_learning.mlp["paper"],0.065754524897784,0.06560147041454911,None,0.0664065033197403
npbench.deep_learning.resnet["S"],0.003735980950295925,nan,0.003927338247497877,0.006657891208305955
npbench.deep_learning.resnet["M"],0.020409491378813982,nan,0.023859099484980106,0.053534661419689655
npbench.deep_learning.resnet["paper"],3.737713655922562,nan,0.9402445740997791,2.0229893270879984
npbench.deep_learning.softmax["S"],0.014697398524731398,0.020070120692253113,None,0.01934731425717473
npbench.deep_learning.softmax["M"],0.06399065302684903,0.1861666259355843,None,0.07418237254023552
npbench.deep_learning.softmax["paper"],1.003064892720431,3.051605894230306,None,1.1207383214496076
npbench.go_fast["S"],0.010404471540823579,0.0035899756476283073,0.010218004463240504,0.005369925095389286
npbench.go_fast["M"],0.133778543677181,0.03843921981751919,0.1331494147889316,0.06100443610921502
npbench.go_fast["paper"],0.5668443841859698,0.16424478963017464,0.56059291632846,0.25425485149025917
npbench.mandelbrot1["S"],0.002727154758758843,0.004487180461486181,0.003693139025320609,0.008710929658263922
npbench.mandelbrot1["M"],0.01732263807207346,0.023471737280488014,0.020626991521567106,0.08194023557007313
npbench.mandelbrot1["paper"],0.2007021950557828,0.18795477924868464,0.22333093034103513,1.5209616119973361
npbench.mandelbrot2["S"],0.010141882114112377,nan,nan,0.007213382050395012
npbench.mandelbrot2["M"],0.07983553363010287,nan,nan,0.07389164203777909
npbench.mandelbrot2["paper"],0.5464361370541155,nan,nan,0.5073043680749834
npbench.nbody["S"],0.011692154686897993,None,None,0.0029290523380041122
npbench.nbody["M"],0.09820024156942964,None,None,0.03000582754611969
npbench.nbody["paper"],0.48483863193541765,None,None,0.30315508134663105
npbench.pythran.arc_distance["S"],0.0006408179760910571,0.0005793809218125211,0.0005578683534016211,0.0030469653429463506
npbench.pythran.arc_distance["M"],0.00700680585578084,0.005644517485052347,0.006315847160294652,0.03747484181076288
npbench.pythran.arc_distance["paper"],0.07929656933993101,0.056437527760863304,0.07111184764653444,0.44714040169492364
npbench.scattering_self_energies["S"],9.460164318707856e-05,0.00046407466754317284,0.00010637190336218246,0.005833662115037441
npbench.scattering_self_energies["M"],0.0006979838013648987,0.004761550389230251,0.0007935574145189353,0.04421680839732289
npbench.scattering_self_energies["paper"],0.0203644298017025,0.11387671809643507,0.02292976900935173,1.3972638212144375
npbench.spmv["S"],2.9291688093654065e-05,6.680041433701032e-05,2.8886732775570536e-05,0.007456116145476699
npbench.spmv["M"],0.00016471934787025958,0.00024012123338050312,0.0001589670910366944,0.05947407241910696
npbench.spmv["paper"],0.0009203943773172796,0.0010925269184204247,0.0008718253058545729,0.23843259597197175
npbench.stockham_fft["S"],0.01453343778848648,0.002988681197166443,0.0027299789944663644,0.00453831705575188
npbench.stockham_fft["M"],0.14048730488866568,0.039310064632445574,0.041367537807673216,0.05185057455673814
npbench.stockham_fft["paper"],0.43846236448735,0.15651288535445929,0.17900239257141948,0.2159262946806848
